	latitude	longitude	price	categories	others	koreanneigbours	italianneigbhours	vietnameseneigbhours	japaneseneigbhours
0	52.45886510800489	13.322986140847199	1.0	"[{""title"":""Curry Sausage"",""alias"":""currysausage""},{""title"":""Fast Food"",""alias"":""hotdogs""}]"	33	0	5	0	2
1	52.4586	13.3045	2.0	"[{""title"":""Museums"",""alias"":""museums""},{""title"":""Botanical Gardens"",""alias"":""gardens""}]"	1	0	0	1	0
2	52.4715	13.3361	2.0	"[{""title"":""Korean"",""alias"":""korean""},{""title"":""Tea Rooms"",""alias"":""tea""}]"	15	1	4	2	0
3	52.4677	13.33165	1.0	"[{""title"":""Vietnamese"",""alias"":""vietnamese""}]"	32	3	6	1	1
4	52.446220600000004	13.315559599999998	2.0	"[{""title"":""Vietnamese"",""alias"":""vietnamese""}]"	3	0	1	0	0
5	52.460469999999994	13.323160000000001	1.0	"[{""title"":""Sushi Bars"",""alias"":""sushi""},{""title"":""Japanese"",""alias"":""japanese""}]"	41	1	5	0	1
6	52.46191999999999	13.31874	3.0	"[{""title"":""Greek"",""alias"":""greek""}]"	29	0	3	1	1
7	52.463159999999995	13.328829999999998	2.0	"[{""title"":""Thai"",""alias"":""thai""}]"	39	1	6	2	2
8	52.475434354777	13.339735141679	2.0	"[{""title"":""Italian"",""alias"":""italian""}]"	10	1	2	0	0
9	52.4539841367397	13.3232087619922	2.0	"[{""title"":""Ice Cream \u0026 Frozen Yogurt"",""alias"":""icecream""}]"	25	0	4	0	1
10	52.4646	13.32381	2.0	"[{""title"":""Irish Pub"",""alias"":""irish_pubs""}]"	41	1	5	2	2
11	52.4730573065545	13.316389677246098	2.0	"[{""title"":""Parks"",""alias"":""parks""},{""title"":""Public Plazas"",""alias"":""publicplazas""}]"	8	0	2	0	0
12	52.4646304	13.338616	2.0	"[{""title"":""Pizza"",""alias"":""pizza""},{""title"":""Italian"",""alias"":""italian""}]"	19	1	4	2	1
13	52.4772	13.329820000000002	2.0	"[{""title"":""Coffee \u0026 Tea"",""alias"":""coffee""},{""title"":""Candy Stores"",""alias"":""candy""},{""title"":""Chocolatiers \u0026 Shops"",""alias"":""chocolate""}]"	12	1	2	0	0
14	52.4542449310551	13.317367587183002	2.0	"[{""title"":""Indian"",""alias"":""indpak""}]"	21	0	3	0	0
15	52.466881683877205	13.329798370361303	1.0	"[{""title"":""Sushi Bars"",""alias"":""sushi""},{""title"":""Pan Asian"",""alias"":""panasian""}]"	29	3	5	2	1
16	52.458581161872395	13.3218468347546	2.0	"[{""title"":""Ice Cream \u0026 Frozen Yogurt"",""alias"":""icecream""},{""title"":""Cafes"",""alias"":""cafes""}]"	35	0	6	0	1
17	52.4644678803782	13.329878404468902	2.0	"[{""title"":""Cafes"",""alias"":""cafes""},{""title"":""Breakfast \u0026 Brunch"",""alias"":""breakfast_brunch""}]"	35	2	6	2	2
18	52.46836999999999	13.328660000000001	2.0	"[{""title"":""Bakeries"",""alias"":""bakeries""},{""title"":""Gluten-Free"",""alias"":""gluten_free""},{""title"":""Ice Cream \u0026 Frozen Yogurt"",""alias"":""icecream""}]"	31	3	4	2	1
19	52.4707	13.3306	2.0	"[{""title"":""Korean"",""alias"":""korean""}]"	33	2	5	2	0
20	52.455959299999996	13.3246803	1.0	"[{""title"":""Chinese"",""alias"":""chinese""}]"	28	0	4	0	1
21	52.450679	13.339645	1.0	"[{""title"":""Curry Sausage"",""alias"":""currysausage""},{""title"":""Fast Food"",""alias"":""hotdogs""}]"	0	0	0	0	0
22	52.47094	13.33506	2.0	"[{""title"":""Coffee \u0026 Tea"",""alias"":""coffee""},{""title"":""Patisserie/Cake Shop"",""alias"":""cakeshop""}]"	20	2	5	2	0
23	52.459680000000006	13.3242	2.0	"[{""title"":""Sushi Bars"",""alias"":""sushi""}]"	35	1	6	0	2
24	52.460409999999996	13.31734	3.0	"[{""title"":""Modern European"",""alias"":""modern_european""}]"	29	0	3	1	1
25	52.473071	13.321871	1.0	"[{""title"":""Cafes"",""alias"":""cafes""},{""title"":""Coffee \u0026 Tea"",""alias"":""coffee""},{""title"":""Soup"",""alias"":""soup""}]"	13	1	1	0	0
26	52.48816	13.337829999999999	2.0	"[{""title"":""Greek"",""alias"":""greek""}]"	2	0	0	0	0
27	52.478144894736396	13.312981307132	2.0	"[{""title"":""Italian"",""alias"":""italian""}]"	3	0	0	0	0
28	52.4643229635466	13.3297218567435	2.0	"[{""title"":""Italian"",""alias"":""italian""}]"	35	2	5	2	2
29	52.46913000000001	13.33189	1.0	"[{""title"":""Vietnamese"",""alias"":""vietnamese""}]"	32	3	5	1	1
30	52.466525674082796	13.321862965822199	2.0	"[{""title"":""Bars"",""alias"":""bars""}]"	32	1	4	2	2
31	52.46406999999999	13.331129999999998	1.0	"[{""title"":""Korean"",""alias"":""korean""}]"	34	1	5	2	2
32	52.46649	13.32802	2.0	"[{""title"":""Thai"",""alias"":""thai""}]"	34	2	7	2	2
33	52.4600593950453	13.325230814516498	1.0	"[{""title"":""Sushi Bars"",""alias"":""sushi""},{""title"":""Pan Asian"",""alias"":""panasian""}]"	39	1	5	0	2
34	52.4664086	13.3277316	2.0	"[{""title"":""Spanish"",""alias"":""spanish""},{""title"":""Tapas Bars"",""alias"":""tapas""}]"	33	2	6	2	2
35	52.472531999999994	13.314698000000002	3.0	"[{""title"":""French"",""alias"":""french""}]"	9	0	3	0	0
36	52.45955455533979	13.323654646934099	2.0	"[{""title"":""Sushi Bars"",""alias"":""sushi""}]"	37	1	6	0	2
37	52.473259999999996	13.3213899	2.0	"[{""title"":""Greek"",""alias"":""greek""}]"	12	1	1	0	0
38	52.45715	13.321929999999998	3.0	"[{""title"":""Pan Asian"",""alias"":""panasian""}]"	31	0	5	0	1
39	52.492928956531294	13.3117852714112	1.0	"[{""title"":""Thai"",""alias"":""thai""},{""title"":""Local Flavor"",""alias"":""localflavor""}]"	0	0	0	0	1
40	52.4814	13.3331	2.0	"[{""title"":""Parks"",""alias"":""parks""}]"	6	0	0	0	0
41	52.47205299304849	13.3355358218505	1.0	"[{""title"":""Kebab"",""alias"":""kebab""}]"	16	2	4	2	0
42	52.465049699999994	13.3289404	1.0	"[{""title"":""Oriental"",""alias"":""oriental""},{""title"":""Middle Eastern"",""alias"":""mideastern""}]"	34	2	6	2	2
43	52.463175899999996	13.3204022	3.0	"[{""title"":""Delicatessen"",""alias"":""delicatessen""},{""title"":""Bakeries"",""alias"":""bakeries""}]"	37	1	4	0	2
44	52.4706248	13.320137099999998	2.0	"[{""title"":""Sushi Bars"",""alias"":""sushi""}]"	16	1	2	0	0
45	52.45565	13.31727	2.0	"[{""title"":""Mexican"",""alias"":""mexican""},{""title"":""Wine Bars"",""alias"":""wine_bars""},{""title"":""Cocktail Bars"",""alias"":""cocktailbars""}]"	29	0	4	1	1
46	52.45310229999999	13.3204389	2.0	"[{""title"":""Cocktail Bars"",""alias"":""cocktailbars""}]"	18	0	3	0	0
47	52.464369999999995	13.326039999999999	1.0	"[{""title"":""Cafes"",""alias"":""cafes""}]"	40	1	5	2	2
48	52.46007785578429	13.3249788640693	2.0	"[{""title"":""Pizza"",""alias"":""pizza""},{""title"":""Italian"",""alias"":""italian""}]"	40	1	4	0	2
49	52.464149899999995	13.330929999999999	1.0	"[{""title"":""Ice Cream \u0026 Frozen Yogurt"",""alias"":""icecream""},{""title"":""Cafes"",""alias"":""cafes""}]"	34	2	5	2	2
50	52.44697693096111	13.3114856357674	2.0	"[{""title"":""Pubs"",""alias"":""pubs""},{""title"":""Whiskey Bars"",""alias"":""whiskeybars""}]"	2	0	0	1	0
51	52.458654	13.322707999999999	2.0	"[{""title"":""Patisserie/Cake Shop"",""alias"":""cakeshop""},{""title"":""Cafes"",""alias"":""cafes""}]"	34	0	6	0	2
52	52.461263	13.318182	2.0	"[{""title"":""Irish Pub"",""alias"":""irish_pubs""},{""title"":""Sports Bars"",""alias"":""sportsbars""}]"	27	0	3	1	1
53	52.49496	13.32414	2.0	"[{""title"":""Chinese"",""alias"":""chinese""}]"	2	0	0	0	0
54	52.474959999999996	13.32341	2.0	"[{""title"":""Italian"",""alias"":""italian""}]"	11	1	0	0	0
55	52.47276848565699	13.337222677654	2.0	"[{""title"":""Sushi Bars"",""alias"":""sushi""},{""title"":""Thai"",""alias"":""thai""}]"	13	2	4	2	0
56	52.46024	13.31755	2.0	"[{""title"":""Thai"",""alias"":""thai""}]"	28	0	3	1	1
57	52.4700789	13.3402932	3.0	"[{""title"":""Italian"",""alias"":""italian""}]"	12	2	4	2	0
58	52.470045505499	13.340318516250301	2.0	"[{""title"":""Coffee \u0026 Tea"",""alias"":""coffee""},{""title"":""German"",""alias"":""german""},{""title"":""Breakfast \u0026 Brunch"",""alias"":""breakfast_brunch""}]"	12	2	5	2	0
59	52.457052412452704	13.322023885262102	2.0	"[{""title"":""American (Traditional)"",""alias"":""tradamerican""},{""title"":""Burgers"",""alias"":""burgers""}]"	31	0	5	0	1
60	52.479009999999995	13.327689999999999	3.0	"[{""title"":""Mexican"",""alias"":""mexican""}]"	6	0	1	0	0
61	52.4667	13.33	2.0	"[{""title"":""Spanish"",""alias"":""spanish""},{""title"":""Wine Bars"",""alias"":""wine_bars""},{""title"":""Tapas Bars"",""alias"":""tapas""}]"	29	3	5	2	1
62	52.457969999999996	13.32925	2.0	"[{""title"":""Irish Pub"",""alias"":""irish_pubs""},{""title"":""International"",""alias"":""international""}]"	24	1	4	0	2
63	52.49855	13.32485	2.0	"[{""title"":""Sushi Bars"",""alias"":""sushi""}]"	2	0	0	0	0
64	52.476722245696706	13.3264443646686	2.0	"[{""title"":""Cafes"",""alias"":""cafes""}]"	10	1	1	0	0
65	52.4665777675304	13.325003033065698	2.0	"[{""title"":""German"",""alias"":""german""}]"	32	2	5	2	2
66	52.49624	13.32255	2.0	"[{""title"":""Spanish"",""alias"":""spanish""}]"	2	0	0	0	0
67	52.46011	13.30945	1.0	"[{""title"":""Vietnamese"",""alias"":""vietnamese""}]"	7	0	1	0	0
68	52.454163	13.317163	2.0	"[{""title"":""American (Traditional)"",""alias"":""tradamerican""},{""title"":""Burgers"",""alias"":""burgers""}]"	21	0	3	0	0
69	52.4644397364299	13.323324099183099	2.0	"[{""title"":""Italian"",""alias"":""italian""}]"	39	1	3	1	2
70	52.460465	13.323129000000002	2.0	"[{""title"":""Thai"",""alias"":""thai""}]"	40	1	5	0	2
71	52.45321	13.3244	4.0	"[{""title"":""Mediterranean"",""alias"":""mediterranean""},{""title"":""Italian"",""alias"":""italian""}]"	21	0	2	0	0
72	52.463319999999996	13.329920000000001	2.0	"[{""title"":""Japanese"",""alias"":""japanese""},{""title"":""Sushi Bars"",""alias"":""sushi""}]"	37	1	6	2	1
73	52.46488000000001	13.33022	2.0	"[{""title"":""Cafes"",""alias"":""cafes""}]"	32	2	5	2	2
74	52.467411	13.321698999999999	2.0	"[{""title"":""Argentine"",""alias"":""argentine""},{""title"":""German"",""alias"":""german""}]"	34	2	4	2	1
75	52.47956	13.333689999999999	3.0	"[{""title"":""Modern European"",""alias"":""modern_european""}]"	6	0	1	0	0
76	52.4732	13.3175	2.0	"[{""title"":""German"",""alias"":""german""},{""title"":""Breakfast \u0026 Brunch"",""alias"":""breakfast_brunch""}]"	9	0	2	0	0
77	52.4962239	13.3428881	2.0	"[{""title"":""Italian"",""alias"":""italian""}]"	1	0	0	1	0
78	52.462990000000005	13.319170000000002	2.0	"[{""title"":""Italian"",""alias"":""italian""},{""title"":""Pizza"",""alias"":""pizza""}]"	33	0	3	1	2
79	52.47093960000001	13.3350601	3.0	"[{""title"":""Italian"",""alias"":""italian""}]"	20	2	4	2	0
80	52.49762	13.340570000000001	2.0	"[{""title"":""Vietnamese"",""alias"":""vietnamese""}]"	1	0	1	0	0
81	52.488624699999995	13.336727300000002	2.0	"[{""title"":""Chinese"",""alias"":""chinese""}]"	2	0	0	0	0
82	52.460277000000005	13.324592	2.0	"[{""title"":""Middle Eastern"",""alias"":""mideastern""}]"	40	1	5	0	2
83	52.45536800000001	13.326145	1.0	"[{""title"":""Italian"",""alias"":""italian""}]"	24	0	3	0	1
84	52.459680000000006	13.32281	2.0	"[{""title"":""Cafes"",""alias"":""cafes""}]"	37	1	6	0	2
85	52.4485	13.3064	2.0	"[{""title"":""Ice Cream \u0026 Frozen Yogurt"",""alias"":""icecream""}]"	2	0	0	1	0
86	52.46702	13.325339999999999	2.0	"[{""title"":""Cafes"",""alias"":""cafes""},{""title"":""Patisserie/Cake Shop"",""alias"":""cakeshop""}]"	31	2	4	2	2
87	52.45349	13.315	2.0	"[{""title"":""German"",""alias"":""german""}]"	14	0	2	0	0
88	52.458156	13.321541	2.0	"[{""title"":""Ice Cream \u0026 Frozen Yogurt"",""alias"":""icecream""}]"	34	0	6	0	1
89	52.456925	13.319317999999999	2.0	"[{""title"":""Cafes"",""alias"":""cafes""}]"	31	0	5	0	1
90	52.4687	13.3325	3.0	"[{""title"":""Italian"",""alias"":""italian""}]"	31	3	4	2	1
91	52.4659002	13.3299	2.0	"[{""title"":""Chinese"",""alias"":""chinese""}]"	31	2	6	2	1
92	52.488169670790604	13.338037334748302	2.0	"[{""title"":""German"",""alias"":""german""},{""title"":""Cafes"",""alias"":""cafes""}]"	2	0	0	0	0
93	52.4679	13.3091	2.0	"[{""title"":""Italian"",""alias"":""italian""},{""title"":""Pizza"",""alias"":""pizza""}]"	1	0	0	0	0
94	52.47526	13.333110000000001	2.0	"[{""title"":""Greek"",""alias"":""greek""}]"	15	2	4	1	0
95	52.487952	13.317788	3.0	"[{""title"":""Japanese"",""alias"":""japanese""}]"	2	0	0	0	0
96	52.453942740289094	13.316589565634501	2.0	"[{""title"":""Indian"",""alias"":""indpak""}]"	19	0	3	0	0
97	52.46585	13.32971	2.0	"[{""title"":""Cafes"",""alias"":""cafes""},{""title"":""Cocktail Bars"",""alias"":""cocktailbars""},{""title"":""Breakfast \u0026 Brunch"",""alias"":""breakfast_brunch""}]"	32	2	6	2	2
98	52.452353599999995	13.320034	1.0	"[{""title"":""Italian"",""alias"":""italian""}]"	17	0	2	1	0
99	52.4859948	13.3263212	3.0	"[{""title"":""Bakeries"",""alias"":""bakeries""},{""title"":""Patisserie/Cake Shop"",""alias"":""cakeshop""}]"	1	0	0	0	1
